DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
Z23,ICD10,110869,Persons with potential health hazards related to communicable diseases
Z0000,ICD10,106333,Persons encountering health services for examination and investigation
V700,ICD9,87800,Factors influencing Health Status 
I10,ICD10,84057,Hypertensive diseases
7862,ICD9,66555,Symptoms 
R05,ICD10,62327,Symptoms and signs involving the circulatory and respiratory systems
E785,ICD10,60955,Metabolic disorders
J069,ICD10,58796,Acute upper respiratory infections
Z79899,ICD10,57799,Persons encountering health services in other circumstances
J029,ICD10,57104,Acute upper respiratory infections
4019,ICD9,54706,Hypertensive diseases
K219,ICD10,53198,"Diseases of esophagus, stomach, and duodenum"
4659,ICD9,50242,Acute respiratory infections 
462,ICD9,50231,Acute respiratory infections 
E669,ICD10,46397,Obesity and other hyperalimentation
Z1231,ICD10,46291,Persons encountering health services for examination and investigation
2724,ICD9,45554,Other metabolic and immunity disorders 
V0481,ICD9,45463,Factors influencing Health Status 
7295,ICD9,43577,"Rheumatism, excluding the back "
G8929,ICD10,42349,Cerebral palsy and other paralytic syndromes
R5383,ICD10,42008,General symptoms and signs
M545,ICD10,41790,Other dorsopathies
F419,ICD10,41501,"Neurotic, stress-related and somatoform disorders"
R109,ICD10,40985,Symptoms and signs involving the digestive system and abdomen
78079,ICD9,40278,Symptoms 
R079,ICD10,39749,Symptoms and signs involving the circulatory and respiratory systems
U071,ICD10,38505,Provisional assignment of new diseases of uncertain etiology or emergency use
Z1211,ICD10,37945,Persons encountering health services for examination and investigation
Z87891,ICD10,37560,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
53081,ICD9,37087,"Diseases of esophagus, stomach, and duodenum"
Z01419,ICD10,36908,Persons encountering health services for examination and investigation
F329,ICD10,35904,Mood [affective] disorders
E119,ICD10,34749,Diabetes mellitus
R509,ICD10,34528,General symptoms and signs
R51,ICD10,34519,General symptoms and signs
27800,ICD9,33897,Other metabolic and immunity disorders 
E559,ICD10,33835,Other nutritional deficiencies
7242,ICD9,33799,Dorsopathies 
Z01818,ICD10,33588,Persons encountering health services for examination and investigation
R0602,ICD10,33564,Symptoms and signs involving the circulatory and respiratory systems
78650,ICD9,33510,Symptoms 
78900,ICD9,31875,Symptoms 
V7231,ICD9,31441,Factors influencing Health Status 
30000,ICD9,31194,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
V7612,ICD9,30554,Factors influencing Health Status 
R42,ICD10,30370,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
4779,ICD9,30179,Other diseases of the upper respiratory tract 
7840,ICD9,30067,Symptoms 
E782,ICD10,29980,Metabolic disorders
